time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y,path x,path y
0.190900803,0.049067161,-0.001325651,20623.23333,0,0,1,1,0,0
0.288976431,0.049067158,-0.001325625,20623.23336,0,0,4,4,0,0.2
0.289185286,0.049067158,-0.001325625,20623.23336,0,0,3,4,0,0.4
0.341866255,0.049067155,-0.001325599,20623.23338,0,0,5,0,0,0.6
0.411926031,0.049067154,-0.001325586,20623.23339,0,0,5,1,0,0.8
0.458788395,0.049067151,-0.001325559,20623.23342,0,0,0,7,0,1
0.52011323,0.04906715,-0.001325546,20623.23343,0,0,1,7,0.2,1.2
0.582035303,0.049067148,-0.001325533,20623.23344,0,0,2,7,0.4,1.4
0.63442421,0.049067147,-0.00132552,20623.23345,0,0,3,7,0.6,1.6
0.698114634,0.049067145,-0.001325507,20623.23346,0,0,,,0.8,1.8
0.773098469,0.049067141,-0.001325467,20623.2335,0,0.2,,,1,2
0.840143681,0.049067138,-0.001325441,20623.23352,0,0.2,,,1,2.2
0.897197485,0.049066395,-0.00131628,20623.24237,0,0.2,,,1,2.4
0.949607372,0.04906411,-0.001302057,20623.26327,0,0.2,,,1,2.6
1.011931896,0.04906078,-0.001286089,20623.2936,0,0.2,,,1,2.8
1.07214427,0.049050637,-0.001244959,20623.38493,0,0.2,,,1,3
1.118534565,0.049033634,-0.001190857,20623.5141,0,0.2,,,1,3.2
1.191372633,0.048990877,-0.001163563,20623.73854,0,0.2,,,1,3.4
1.239275932,0.048957619,-0.001159048,20623.92188,0,0.2,,,1,3.6
1.296930552,0.048913004,-0.001156502,20624.18219,0,0.2,,,1,3.8
1.34815836,0.048806073,-0.0011556,20624.89426,0,0.2,,,1,4
1.395475149,0.048687834,-0.001156558,20625.65617,0,0.2,,,1.2,4.2
1.467873573,0.04862731,-0.001157601,20626.03088,0,0.2,,,1.4,4.4
1.522687912,0.048562749,-0.001159006,20626.41489,0,0.2,,,1.6,4.6
1.571535826,0.04850013,-0.001160743,0.306490554,0,0.2,,,1.8,4.8
1.639748812,0.048381741,-0.001165447,1.068880478,0,0.2,,,2,5
1.695515871,0.048265352,-0.001171624,1.81966956,0,0.2,,,2.2,5.2
1.755183697,0.048205487,-0.001175398,2.206345233,0,0.2,,,2.4,5.4
1.815565109,0.048147439,-0.001179447,2.581587179,0,0.2,,,2.6,5.6
1.866868973,0.048089449,-0.001183875,2.956772302,0,0.2,,,2.8,5.8
1.932523251,0.047914105,-0.001199605,4.093384374,0,0.2,,,3,6
1.97836709,0.047854626,-0.001205738,4.479737782,0,0.2,,,3.2,6.2
2.044133425,0.047796966,-0.001212071,4.854687165,0,0.2,,,3.4,6.4
2.115935802,0.047680118,-0.001226078,5.615842319,0,0.2,,,3.6,6.6
2.181228876,0.047622676,-0.001233541,5.990694084,0,0.2,,,3.8,6.8
2.223931313,0.047506282,-0.001249839,6.75168537,0,0.2,,,4,7
2.284766436,0.047391932,-0.001267389,7.501249892,0,0.2,,,3.8,7.2
2.332433939,0.047333143,-0.001277009,7.887377999,0,0.2,,,3.6,7.4
2.393918037,0.047276162,-0.001286722,8.262147449,0,0.2,,,3.4,7.6
2.447347879,0.047160687,-0.001307586,9.023089009,0,0.2,,,3.2,7.8
2.494298935,0.047047168,-0.001329646,9.77284733,0,0.2,,,3,8
2.547386885,0.046988782,-0.001341595,10.15916659,0,0.2,,,2.8,8.2
2.61549139,0.046932176,-0.001353571,10.53417718,0,0.2,,,2.6,8.4
2.669968128,0.046875635,-0.001365921,10.90924151,0,0.2,,,2.4,8.6
2.731681824,0.046704715,-0.001405625,12.04613527,0,0.2,,,2.2,8.8
2.82657361,0.046590573,-0.001434142,12.80814134,0,0.2,,,2,9
2.893746138,0.04653447,-0.001448752,13.18354352,0,0.2,,,1.8,9
2.948679447,0.046476751,-0.001464194,13.57038096,0,0.2,,,1.6,9
3.021205425,0.046420814,-0.00147956,13.94589862,0,0.2,,,1.4,9
3.088474989,0.046307505,-0.001511898,14.70848858,0,0.2,,,1.2,9
3.133169651,0.046196245,-0.001545249,15.45992615,0,0.2,,,1,9
3.196126223,0.04608368,-0.001580619,16.22298137,0,0.2,,,,
3.251200438,0.04608368,-0.001580619,16.22298137,0,0.2,,,,
3.324536562,0.045971517,-0.001617512,16.98626836,0,0.2,,,,
3.386498451,0.045916427,-0.001636242,17.36229983,0,0.2,,,,
3.45330143,0.045804903,-0.0016754,18.12592745,0,0.2,,,,
3.51464057,0.045695484,-0.001715454,18.87837908,0,0.2,,,,
3.564004183,0.045639293,-0.00173666,19.26609096,0,0.2,,,,
3.619914293,0.045584871,-0.001757614,19.6424542,0,0.2,,,,
3.678330421,0.045530565,-0.001778934,20.01887126,0,0.2,,,,
3.733233929,0.045366737,-0.001845771,21.1598564,0,0.2,,,,
3.776202917,0.045311295,-0.001869258,21.54790287,0,0.2,,,,
3.842799902,0.045204057,-0.001915952,22.30132988,0,0.2,,,,
3.90277195,0.045149019,-0.001940572,22.68953889,0,0.2,,,,
3.94853425,0.045149019,-0.001940572,22.68953889,0,0.2,,,,
4.001862288,0.044935103,-0.002040567,24.20864754,0,0.2,,,,
4.060545206,0.044882378,-0.002066285,24.58569803,0,0.2,,,,
4.112578869,0.044828205,-0.002093157,24.97422742,0,0.2,,,,
4.192424774,0.044723496,-0.002146407,25.72858765,0,0.2,,,,
4.264316082,0.044617826,-0.00220192,26.49459001,0,0.2,,,,
4.3287251,0.044566015,-0.002229801,26.87195196,0,0.2,,,,
4.428483248,0.044461313,-0.002287497,27.63826528,0,0.2,,,,
4.501298428,0.044409988,-0.002316449,28.01577891,0,0.2,,,,
4.560017347,0.044357281,-0.002346648,28.40478439,0,0.2,,,,
4.642257929,0.044255475,-0.002406332,29.16006284,0,0.2,,,,
