time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y
5.129677057,-0.003114465,-0.001857476,36.79090308,0,0.2,,
5.191013098,-0.003205665,-0.001930759,37.54687052,0,0.2,,
5.243211508,-0.00329735,-0.002006458,38.31449558,0,0.2,,
5.304015398,-0.003342171,-0.002044223,38.69265515,0,0.2,,
5.388523102,-0.003388113,-0.002083461,39.08232641,0,0.2,,
5.467220545,-0.003476599,-0.002160577,39.83889905,0,0.2,,
5.518949032,-0.00352182,-0.002200789,40.22872712,0,0.2,,
5.586268663,-0.003608884,-0.002279782,40.98560525,0,0.2,,
5.645581007,-0.003653361,-0.002320954,41.37559124,0,0.2,,
5.698548555,-0.003738962,-0.002401798,42.13277616,0,0.2,,
5.744587183,-0.003782676,-0.002443918,42.52291894,0,0.2,,
5.797981024,-0.003866766,-0.002526581,43.2804163,0,0.2,,
5.878047466,-0.003951081,-0.002611703,44.04961083,0,0.2,,
5.931689978,-0.003992216,-0.002654073,44.42854784,0,0.2,,
6.000742674,-0.004034324,-0.00269803,44.81902323,0,0.2,,
6.063632011,-0.004115258,-0.002784232,45.57716643,0,0.2,,
6.145322323,-0.004196314,-0.002872902,46.3470125,0,0.2,,
6.203856707,-0.004235821,-0.002916999,46.72626979,0,0.2,,
6.249078989,-0.004276235,-0.002962723,47.11707557,0,0.2,,
6.300939322,-0.004353839,-0.003052318,47.87586278,0,0.2,,
6.360962152,-0.004431465,-0.003144391,48.64637232,0,0.2,,
6.430061817,-0.004469266,-0.00319015,49.0259613,0,0.2,,
6.485112667,-0.004507911,-0.003237576,49.41711147,0,0.2,,
6.549357653,-0.004545125,-0.003283878,49.79681413,0,0.2,,
6.59691596,-0.004582046,-0.003330444,50.17657399,0,0.2,,
6.659194946,-0.004692124,-0.00347315,51.32771314,0,0.2,,
6.727296829,-0.004728928,-0.003522214,51.71922275,0,0.2,,
6.783364296,-0.004799457,-0.003618231,52.47938973,0,0.2,,
6.830247641,-0.004835316,-0.00366809,52.87108264,0,0.2,,
6.883244276,-0.004904005,-0.003765646,53.63159613,0,0.2,,
6.961969614,-0.004972488,-0.003865721,54.40384938,0,0.2,,
7.02152276,-0.005005752,-0.003915393,54.78429259,0,0.2,,
7.062221289,-0.005039699,-0.003966831,55.17631884,0,0.2,,
7.110384464,-0.005104664,-0.004067447,55.93745099,0,0.2,,
7.190276623,-0.00516937,-0.004170652,56.71026222,0,0.2,,
7.230614901,-0.00516937,-0.004170652,56.71026222,0,0.2,,
7.288844347,-0.0052636,-0.004326689,57.86393882,0,0.2,,
7.351861715,-0.005294074,-0.004378704,58.24470254,0,0.2,,
7.396919727,-0.005325146,-0.004432563,58.63702714,0,0.2,,
7.457082987,-0.005354985,-0.004485097,59.01783217,0,0.2,,
7.505316973,-0.005384508,-0.004537884,59.3986542,0,0.2,,
7.575798988,-0.005471981,-0.004699296,60.5526926,0,0.2,,
7.629128933,-0.005501001,-0.00475461,60.94502969,0,0.2,,
7.671695948,-0.005528809,-0.004808492,61.32579796,0,0.2,,
7.728390455,-0.005556263,-0.004862561,61.70653234,0,0.2,,
7.787712574,-0.005610898,-0.004972892,62.47941665,0,0.2,,
7.838319302,-0.005664042,-0.005083935,63.25210873,0,0.2,,
7.908430338,-0.005714945,-0.005193953,64.01305587,0,0.2,,
7.983663559,-0.005740607,-0.005250828,64.40497063,0,0.2,,
8.036679268,-0.005765131,-0.005306164,64.78529384,0,0.2,,
8.088812828,-0.005789276,-0.005361626,65.16554936,0,0.2,,
8.149925232,-0.005837131,-0.005474594,65.93736203,0,0.2,,
8.20234704,-0.005883407,-0.005587996,66.7088546,0,0.2,,
8.269438028,-0.005927435,-0.005700093,67.4684822,0,0.2,,
8.352086782,-0.005949512,-0.005757979,67.85965519,0,0.2,,
8.407447338,-0.005970549,-0.005814254,68.23921222,0,0.2,,
8.454811335,-0.005991209,-0.005870624,68.61864183,0,0.2,,
8.507170916,-0.006032039,-0.00598544,69.38846481,0,0.2,,
8.573295832,-0.006090717,-0.006159461,70.53446022,0,0.2,,
8.625334501,-0.00611033,-0.006219908,70.90971894,0,0.2,,
8.673360348,-0.006132199,-0.006288248,71.29090052,0,0.2,,
8.728947401,-0.006191675,-0.006463821,71.99340469,0,0.2,,
8.802768707,-0.006265319,-0.006667302,72.68112835,0,0.2,,
8.849847078,-0.006303018,-0.006751234,73.02891734,0,0.2,,
