time,x,y,yaw,vel_x,yaw_vel,ob_x,ob_y,path x,path y
0.226846933,0,0,0.298797006,0,0,1,1,0,0
0.291490316,0,0,0.29883233,0,0,4,4,,
0.35324645,0,0,0.298850527,0,0,3,4,0,0.2
0.415660381,0,0,0.298885851,0,0,5,0,,
0.499330997,0,0,0.298904048,0,0,5,1,0,0.4
0.582424402,0,0,0.298939373,0,0,0,7,,
0.695581675,0,0,0.29895757,0,0,1,7,0,0.6
0.778843403,0,0,0.298992895,0,0.2,2,7,,
0.816322088,0,0,0.299011092,0,0.2,3,7,0,0.8
0.874012232,0,0,0.299028755,0,0.2,,,,
0.927705526,0,0,0.299064615,0,0.2,,,0,1
0.988068104,0,0,0.482244224,0,0.2,,,,
1.066479683,0,0,0.857082211,0,0.2,,,0,1.2
1.134100199,0,0,1.23516814,0,0.2,,,,
1.176962137,0,0,1.613302091,0,0.2,,,0,1.4
1.223872662,0,0,2.381178328,0,0.2,,,,
1.30499649,0,0,3.149256426,0,0.2,,,0,1.6
1.370282412,0,0,3.527637995,0,0.2,,,,
1.417036295,0,0,3.906068876,0,0.2,,,0,1.8
1.490360022,0,0,5.05313082,0,0.2,,,,
1.58588028,0,0,5.443235523,0,0.2,,,0,2
1.670311689,0,0,6.200648663,0,0.2,,,,
1.767153978,0,0,6.590909316,0,0.2,,,0,2.2
1.813219547,0,0,6.969742525,0,0.2,,,,
1.886418104,0,0,7.739043062,0,0.2,,,0,2.4
1.983116865,0,0,8.497056508,0,0.2,,,,
2.074838161,0,0,8.887624533,0,0.2,,,0,2.6
2.191390991,-0.001375922,-0.000103356,9.645947186,0,0.2,,,,
2.27251029,-0.001436287,-0.000115562,10.03668286,0,0.2,,,0,2.8
2.357417107,-0.001553293,-0.000140442,10.79532932,0,0.2,,,,
2.462560654,-0.001613474,-0.000153871,11.18622988,0,0.2,,,0,3
2.541793823,-0.001671818,-0.000167302,11.56568749,0,0.2,,,,
2.654118299,-0.001790063,-0.000195774,12.33626691,0,0.2,,,0.2,3.2
2.766206741,-0.001906254,-0.000225395,13.09556553,0,0.2,,,,
2.867186069,-0.001965991,-0.000241265,13.48680633,0,0.2,,,0.4,3.4
2.950948954,-0.00208171,-0.000273252,14.24644335,0,0.2,,,,
3.027981758,-0.002141191,-0.000290338,14.63785939,0,0.2,,,0.6,3.6
3.086163521,-0.002198834,-0.000307316,15.01782063,0,0.2,,,,
3.128517866,-0.002256387,-0.000324683,15.39783866,0,0.2,,,0.8,3.8
3.199170589,-0.002372948,-0.000361137,16.16956581,0,0.2,,,,
3.263152599,-0.002489101,-0.000399186,16.94153089,0,0.2,,,1,4
3.30733633,-0.002546154,-0.000418512,17.32183983,0,0.2,,,,
3.371509314,-0.002603099,-0.000438223,17.70220602,0,0.2,,,1.2,4.2
3.426944971,-0.002718399,-0.000479434,18.47462472,0,0.2,,,,
3.527202368,-0.002833256,-0.000522238,19.24725241,0,0.2,,,1.4,4.4
3.604849577,-0.002945944,-0.000565956,20.00854969,0,0.2,,,,
3.685983181,-0.00300381,-0.000589077,20.40080951,0,0.2,,,1.6,4.6
3.743694782,-0.00311579,-0.000635127,21.16238149,0,0.2,,,,
3.808629751,-0.003173308,-0.000659457,21.55475414,0,0.2,,,1.8,4.8
3.878127337,-0.003229024,-0.000683467,21.93561314,0,0.2,,,,
3.936895132,-0.003284631,-0.000707868,22.31649389,0,0.2,,,2,5
3.998322964,-0.003452365,-0.000784153,23.47074044,0,0.2,,,,
